id,bin,area_km2,harbors,overlaps,kcal_all,kcal_cerleg,kcal_bantub,kcal_density,pop_1500,cities_1500,pop_1700,cities_1700,pop_1800,cities_1800,origin_lon,origin_lat,rf_pred_1800,rf_resid_1800
PM-142,0_0_0,272,0,1,68712077312,68712077312,49692033024,252.7,0,0,0,0,0,0,21.38529,-0.7958,0,-0.04
PL-142,0_0_0,238,0,1,48302231552,48302231552,33554859008,203.0,0,0,0,0,0,0,20.91765,-0.52581,0,-0.1
PR-139,0_0_0,18600,0,33,3989689968192,3989378446912,2566581812656,214.5,0,0,0,0,0,0,23.73792,1.10096,1,-0.17
PL-143,1_0_0,234,0,1,84664229888,84664229888,59027360768,362.1,0,0,0,0,0,0,20.91765,-1.06579,0,-0.0
PM-143,0_0_0,283,0,1,55020605440,55020605440,40398011392,194.6,0,0,0,0,0,0,21.38529,-1.33578,0,-0.1
PL-137,0_0_0,20745,0,40,2548453727456,2548453727456,1600857284016,122.8,0,0,0,0,0,0,20.96212,2.01724,0,-0.11
PL-144,0_0_0,274,0,1,53906182144,53906182144,42449582080,196.9,0,0,0,0,0,0,20.91765,-1.60578,0,-0.1
PK-142,0_0_0,269,0,1,73360805888,73360805888,52142901248,272.8,0,0,0,0,0,0,20.45001,-0.7958,0,-0.01
PM-140,0_0_0,305,0,1,67852378112,67852378112,51523300352,222.6,0,0,0,0,0,0,21.38529,0.28417,0,-0.1
PQ-143,0_0_0,8305,0,13,1262233440288,1262233440288,828214328576,152.0,0,0,0,0,0,0,23.27978,-1.19873,0,-0.11
PM-137,0_0_0,19988,0,38,2650546709472,2650546709472,1667980770608,132.6,0,0,0,0,0,0,21.2945,2.05317,0,-0.11
PS-138,0_0_0,15584,0,28,3190963765760,3190963765760,2025146563064,204.8,0,0,0,0,0,0,24.18708,1.3435,1,-0.18
PQ-137,0_0_0,18555,0,31,3452076898112,3452076898112,2179950533424,186.0,0,0,0,0,0,0,23.08215,1.81063,1,-0.17
PQ-138,0_0_0,18516,0,32,3732783720512,3732783720512,2384157389040,201.6,0,0,0,0,0,0,23.31571,1.47825,1,-0.17
PP-137,0_0_0,18701,0,32,3354272095040,3354272095040,2118252000752,179.4,0,0,0,0,0,0,22.65096,2.0352,1,-0.17
PK-140,0_0_0,244,0,1,48270391296,48270391296,36914475008,197.8,0,0,0,0,0,0,20.45001,0.28417,0,-0.1
OR-85,0_0_0,20661,0,7,57360806144,57360806144,0,2.8,0,0,0,0,0,0,11.56485,30.25331,0,-0.02
OR-87,0_0_0,21530,0,7,0,0,0,0.0,0,0,0,0,0,0,11.56485,29.17334,0,-0.01
OU-85,0_0_0,21215,0,7,0,0,0,0.0,0,0,0,0,0,0,12.96777,29.98331,0,-0.0
OS-83,0_0_0,20082,0,7,845285446144,845285446144,53792245493,42.1,0,0,0,0,0,0,12.03249,31.06328,0,-0.04
OS-87,0_0_0,22040,0,7,0,0,0,0.0,0,0,0,0,0,0,12.03249,28.90335,0,-0.01
OU-86,0_0_0,21113,0,7,0,0,0,0.0,0,0,0,0,0,0,12.96777,29.44333,0,-0.0
OR-88,0_0_0,19989,0,7,0,0,0,0.0,0,0,0,0,0,0,11.56485,28.63335,0,-0.0
OS-85,0_0_0,20934,0,7,0,0,0,0.0,0,0,0,0,0,0,12.03249,29.98331,0,-0.0
OT-84,0_0_0,22514,0,8,152391259008,152391259008,1914998656,6.8,0,0,0,0,0,0,12.50013,30.79329,0,-0.04
OU-83,0_0_0,23679,0,8,355187222560,355187222560,31355618000,15.0,0,0,0,0,0,0,12.96777,31.06328,0,-0.05
OT-86,0_0_0,20791,0,7,0,0,0,0.0,0,0,0,0,0,0,12.50013,29.71332,0,-0.0
OV-88,0_0_0,20970,0,7,0,0,0,0.0,0,0,0,0,0,0,13.43541,28.63335,0,-0.0
OR-86,0_0_0,20884,0,7,0,0,0,0.0,0,0,0,0,0,0,11.56485,29.71332,0,-0.0
OS-86,0_0_0,20947,0,7,0,0,0,0.0,0,0,0,0,0,0,12.03249,29.44333,0,-0.0
OU-84,0_0_0,22565,0,8,0,0,0,0.0,0,0,0,0,0,0,12.96777,30.5233,1,-0.19
OT-87,0_0_0,21726,0,7,0,0,0,0.0,0,0,0,0,0,0,12.50013,29.17334,0,-0.01
OT-85,0_0_0,20992,0,7,0,0,0,0.0,0,0,0,0,0,0,12.50013,30.25331,0,-0.0
OS-84,0_0_0,21023,0,7,92616298496,92616298496,0,4.4,0,0,0,0,0,0,12.03249,30.5233,0,-0.03
OR-84,0_0_0,21010,0,7,558316535808,558316535808,6626293,26.6,0,0,0,0,0,0,11.56485,30.79329,0,-0.04
OU-87,0_0_0,21585,0,7,0,0,0,0.0,0,0,0,0,0,0,12.96777,28.90335,0,-0.01
OO-87,0_0_0,21815,0,7,0,0,0,0.0,0,0,0,0,0,0,10.16192,28.90335,0,-0.01
